"","Date","ActiveCameras","Site","Status","MonthDay","Year","Active"
"162",2020-03-19,2,"MS002","Inactive","03-19","2020","0"
"163",2020-03-19,2,"MS004","Active","03-19","2020","1"
"164",2020-03-19,2,"MS007","Inactive","03-19","2020","0"
"165",2020-03-19,2,"MS016","Inactive","03-19","2020","0"
"166",2020-03-19,2,"MS017","Inactive","03-19","2020","0"
"167",2020-03-19,2,"MS021","Inactive","03-19","2020","0"
"168",2020-03-19,2,"MS023","Inactive","03-19","2020","0"
"169",2020-03-19,2,"MS024","Inactive","03-19","2020","0"
"170",2020-03-19,2,"MS026","Inactive","03-19","2020","0"
"171",2020-03-20,2,"MS001","Active","03-20","2020","1"
"172",2020-03-20,2,"MS002","Inactive","03-20","2020","0"
"173",2020-03-20,2,"MS004","Active","03-20","2020","1"
"174",2020-03-20,2,"MS007","Inactive","03-20","2020","0"
"175",2020-03-20,2,"MS016","Inactive","03-20","2020","0"
"176",2020-03-20,2,"MS017","Inactive","03-20","2020","0"
"177",2020-03-20,2,"MS021","Inactive","03-20","2020","0"
"178",2020-03-20,2,"MS023","Inactive","03-20","2020","0"
"179",2020-03-20,2,"MS024","Inactive","03-20","2020","0"
"180",2020-03-20,2,"MS026","Inactive","03-20","2020","0"
"181",2020-03-21,2,"MS001","Active","03-21","2020","1"
"182",2020-03-21,2,"MS002","Inactive","03-21","2020","0"
"183",2020-03-21,2,"MS004","Active","03-21","2020","1"
"184",2020-03-21,2,"MS007","Inactive","03-21","2020","0"
"185",2020-03-21,2,"MS016","Inactive","03-21","2020","0"
"186",2020-03-21,2,"MS017","Inactive","03-21","2020","0"
"187",2020-03-21,2,"MS021","Inactive","03-21","2020","0"
"188",2020-03-21,2,"MS023","Inactive","03-21","2020","0"
"189",2020-03-21,2,"MS024","Inactive","03-21","2020","0"
"190",2020-03-21,2,"MS026","Inactive","03-21","2020","0"
"191",2020-03-22,2,"MS001","Active","03-22","2020","1"
"192",2020-03-22,2,"MS002","Inactive","03-22","2020","0"
"193",2020-03-22,2,"MS004","Active","03-22","2020","1"
"194",2020-03-22,2,"MS007","Inactive","03-22","2020","0"
"195",2020-03-22,2,"MS016","Inactive","03-22","2020","0"
"196",2020-03-22,2,"MS017","Inactive","03-22","2020","0"
"197",2020-03-22,2,"MS021","Inactive","03-22","2020","0"
"198",2020-03-22,2,"MS023","Inactive","03-22","2020","0"
"199",2020-03-22,2,"MS024","Inactive","03-22","2020","0"
"200",2020-03-22,2,"MS026","Inactive","03-22","2020","0"
"201",2020-03-23,2,"MS001","Active","03-23","2020","1"
"202",2020-03-23,2,"MS002","Inactive","03-23","2020","0"
"203",2020-03-23,2,"MS004","Active","03-23","2020","1"
"204",2020-03-23,2,"MS007","Inactive","03-23","2020","0"
"205",2020-03-23,2,"MS016","Inactive","03-23","2020","0"
"206",2020-03-23,2,"MS017","Inactive","03-23","2020","0"
"207",2020-03-23,2,"MS021","Inactive","03-23","2020","0"
"208",2020-03-23,2,"MS023","Inactive","03-23","2020","0"
"209",2020-03-23,2,"MS024","Inactive","03-23","2020","0"
"210",2020-03-23,2,"MS026","Inactive","03-23","2020","0"
"211",2020-03-24,2,"MS001","Active","03-24","2020","1"
"212",2020-03-24,2,"MS002","Inactive","03-24","2020","0"
"213",2020-03-24,2,"MS004","Active","03-24","2020","1"
"214",2020-03-24,2,"MS007","Inactive","03-24","2020","0"
"215",2020-03-24,2,"MS016","Inactive","03-24","2020","0"
"216",2020-03-24,2,"MS017","Inactive","03-24","2020","0"
"217",2020-03-24,2,"MS021","Inactive","03-24","2020","0"
"218",2020-03-24,2,"MS023","Inactive","03-24","2020","0"
"219",2020-03-24,2,"MS024","Inactive","03-24","2020","0"
"220",2020-03-24,2,"MS026","Inactive","03-24","2020","0"
"221",2020-03-25,2,"MS001","Active","03-25","2020","1"
"222",2020-03-25,2,"MS002","Inactive","03-25","2020","0"
"223",2020-03-25,2,"MS004","Active","03-25","2020","1"
"224",2020-03-25,2,"MS007","Inactive","03-25","2020","0"
"225",2020-03-25,2,"MS016","Inactive","03-25","2020","0"
"226",2020-03-25,2,"MS017","Inactive","03-25","2020","0"
"227",2020-03-25,2,"MS021","Inactive","03-25","2020","0"
"228",2020-03-25,2,"MS023","Inactive","03-25","2020","0"
"229",2020-03-25,2,"MS024","Inactive","03-25","2020","0"
"230",2020-03-25,2,"MS026","Inactive","03-25","2020","0"
"231",2020-03-26,2,"MS001","Active","03-26","2020","1"
"232",2020-03-26,2,"MS002","Inactive","03-26","2020","0"
"233",2020-03-26,2,"MS004","Active","03-26","2020","1"
"234",2020-03-26,2,"MS007","Inactive","03-26","2020","0"
"235",2020-03-26,2,"MS016","Inactive","03-26","2020","0"
"236",2020-03-26,2,"MS017","Inactive","03-26","2020","0"
"237",2020-03-26,2,"MS021","Inactive","03-26","2020","0"
"238",2020-03-26,2,"MS023","Inactive","03-26","2020","0"
"239",2020-03-26,2,"MS024","Inactive","03-26","2020","0"
"240",2020-03-26,2,"MS026","Inactive","03-26","2020","0"
"241",2020-03-27,2,"MS001","Active","03-27","2020","1"
"242",2020-03-27,2,"MS002","Inactive","03-27","2020","0"
"243",2020-03-27,2,"MS004","Active","03-27","2020","1"
"244",2020-03-27,2,"MS007","Inactive","03-27","2020","0"
"245",2020-03-27,2,"MS016","Inactive","03-27","2020","0"
"246",2020-03-27,2,"MS017","Inactive","03-27","2020","0"
"247",2020-03-27,2,"MS021","Inactive","03-27","2020","0"
"248",2020-03-27,2,"MS023","Inactive","03-27","2020","0"
"249",2020-03-27,2,"MS024","Inactive","03-27","2020","0"
"250",2020-03-27,2,"MS026","Inactive","03-27","2020","0"
"251",2020-03-28,2,"MS001","Active","03-28","2020","1"
"252",2020-03-28,2,"MS002","Inactive","03-28","2020","0"
"253",2020-03-28,2,"MS004","Active","03-28","2020","1"
"254",2020-03-28,2,"MS007","Inactive","03-28","2020","0"
"255",2020-03-28,2,"MS016","Inactive","03-28","2020","0"
"256",2020-03-28,2,"MS017","Inactive","03-28","2020","0"
"257",2020-03-28,2,"MS021","Inactive","03-28","2020","0"
"258",2020-03-28,2,"MS023","Inactive","03-28","2020","0"
"259",2020-03-28,2,"MS024","Inactive","03-28","2020","0"
"260",2020-03-28,2,"MS026","Inactive","03-28","2020","0"
"261",2020-03-29,2,"MS001","Active","03-29","2020","1"
"262",2020-03-29,2,"MS002","Inactive","03-29","2020","0"
"263",2020-03-29,2,"MS004","Active","03-29","2020","1"
"264",2020-03-29,2,"MS007","Inactive","03-29","2020","0"
"265",2020-03-29,2,"MS016","Inactive","03-29","2020","0"
"266",2020-03-29,2,"MS017","Inactive","03-29","2020","0"
"267",2020-03-29,2,"MS021","Inactive","03-29","2020","0"
"268",2020-03-29,2,"MS023","Inactive","03-29","2020","0"
"269",2020-03-29,2,"MS024","Inactive","03-29","2020","0"
"270",2020-03-29,2,"MS026","Inactive","03-29","2020","0"
"271",2020-03-30,2,"MS001","Active","03-30","2020","1"
"272",2020-03-30,2,"MS002","Inactive","03-30","2020","0"
"273",2020-03-30,2,"MS004","Active","03-30","2020","1"
"274",2020-03-30,2,"MS007","Inactive","03-30","2020","0"
"275",2020-03-30,2,"MS016","Inactive","03-30","2020","0"
"276",2020-03-30,2,"MS017","Inactive","03-30","2020","0"
"277",2020-03-30,2,"MS021","Inactive","03-30","2020","0"
"278",2020-03-30,2,"MS023","Inactive","03-30","2020","0"
"279",2020-03-30,2,"MS024","Inactive","03-30","2020","0"
"280",2020-03-30,2,"MS026","Inactive","03-30","2020","0"
"281",2020-03-31,2,"MS001","Active","03-31","2020","1"
"282",2020-03-31,2,"MS002","Inactive","03-31","2020","0"
"283",2020-03-31,2,"MS004","Active","03-31","2020","1"
"284",2020-03-31,2,"MS007","Inactive","03-31","2020","0"
"285",2020-03-31,2,"MS016","Inactive","03-31","2020","0"
"286",2020-03-31,2,"MS017","Inactive","03-31","2020","0"
"287",2020-03-31,2,"MS021","Inactive","03-31","2020","0"
"288",2020-03-31,2,"MS023","Inactive","03-31","2020","0"
"289",2020-03-31,2,"MS024","Inactive","03-31","2020","0"
"290",2020-03-31,2,"MS026","Inactive","03-31","2020","0"
"291",2020-04-01,2,"MS001","Active","04-01","2020","1"
"292",2020-04-01,2,"MS002","Inactive","04-01","2020","0"
"293",2020-04-01,2,"MS004","Active","04-01","2020","1"
"294",2020-04-01,2,"MS007","Inactive","04-01","2020","0"
"295",2020-04-01,2,"MS016","Inactive","04-01","2020","0"
"296",2020-04-01,2,"MS017","Inactive","04-01","2020","0"
"297",2020-04-01,2,"MS021","Inactive","04-01","2020","0"
"298",2020-04-01,2,"MS023","Inactive","04-01","2020","0"
"299",2020-04-01,2,"MS024","Inactive","04-01","2020","0"
"300",2020-04-01,2,"MS026","Inactive","04-01","2020","0"
"301",2020-04-02,2,"MS001","Active","04-02","2020","1"
"302",2020-04-02,2,"MS002","Inactive","04-02","2020","0"
"303",2020-04-02,2,"MS004","Active","04-02","2020","1"
"304",2020-04-02,2,"MS007","Inactive","04-02","2020","0"
"305",2020-04-02,2,"MS016","Inactive","04-02","2020","0"
"306",2020-04-02,2,"MS017","Inactive","04-02","2020","0"
"307",2020-04-02,2,"MS021","Inactive","04-02","2020","0"
"308",2020-04-02,2,"MS023","Inactive","04-02","2020","0"
"309",2020-04-02,2,"MS024","Inactive","04-02","2020","0"
"310",2020-04-02,2,"MS026","Inactive","04-02","2020","0"
"311",2020-04-03,2,"MS001","Active","04-03","2020","1"
"312",2020-04-03,2,"MS002","Inactive","04-03","2020","0"
"313",2020-04-03,2,"MS004","Active","04-03","2020","1"
"314",2020-04-03,2,"MS007","Inactive","04-03","2020","0"
"315",2020-04-03,2,"MS016","Inactive","04-03","2020","0"
"316",2020-04-03,2,"MS017","Inactive","04-03","2020","0"
"317",2020-04-03,2,"MS021","Inactive","04-03","2020","0"
"318",2020-04-03,2,"MS023","Inactive","04-03","2020","0"
"319",2020-04-03,2,"MS024","Inactive","04-03","2020","0"
"320",2020-04-03,2,"MS026","Inactive","04-03","2020","0"
"321",2020-04-04,2,"MS001","Active","04-04","2020","1"
"322",2020-04-04,2,"MS002","Inactive","04-04","2020","0"
"323",2020-04-04,2,"MS004","Active","04-04","2020","1"
"324",2020-04-04,2,"MS007","Inactive","04-04","2020","0"
"325",2020-04-04,2,"MS016","Inactive","04-04","2020","0"
"326",2020-04-04,2,"MS017","Inactive","04-04","2020","0"
"327",2020-04-04,2,"MS021","Inactive","04-04","2020","0"
"328",2020-04-04,2,"MS023","Inactive","04-04","2020","0"
"329",2020-04-04,2,"MS024","Inactive","04-04","2020","0"
"330",2020-04-04,2,"MS026","Inactive","04-04","2020","0"
"331",2020-04-05,2,"MS001","Active","04-05","2020","1"
"332",2020-04-05,2,"MS002","Inactive","04-05","2020","0"
"333",2020-04-05,2,"MS004","Active","04-05","2020","1"
"334",2020-04-05,2,"MS007","Inactive","04-05","2020","0"
"335",2020-04-05,2,"MS016","Inactive","04-05","2020","0"
"336",2020-04-05,2,"MS017","Inactive","04-05","2020","0"
"337",2020-04-05,2,"MS021","Inactive","04-05","2020","0"
"338",2020-04-05,2,"MS023","Inactive","04-05","2020","0"
"339",2020-04-05,2,"MS024","Inactive","04-05","2020","0"
"340",2020-04-05,2,"MS026","Inactive","04-05","2020","0"
"341",2020-04-06,1,"MS001","Inactive","04-06","2020","0"
"342",2020-04-06,1,"MS002","Inactive","04-06","2020","0"
"343",2020-04-06,1,"MS004","Active","04-06","2020","1"
"344",2020-04-06,1,"MS007","Inactive","04-06","2020","0"
"345",2020-04-06,1,"MS016","Inactive","04-06","2020","0"
"346",2020-04-06,1,"MS017","Inactive","04-06","2020","0"
"347",2020-04-06,1,"MS021","Inactive","04-06","2020","0"
"348",2020-04-06,1,"MS023","Inactive","04-06","2020","0"
"349",2020-04-06,1,"MS024","Inactive","04-06","2020","0"
"350",2020-04-06,1,"MS026","Inactive","04-06","2020","0"
"351",2020-04-07,1,"MS001","Inactive","04-07","2020","0"
"352",2020-04-07,1,"MS002","Inactive","04-07","2020","0"
"353",2020-04-07,1,"MS004","Active","04-07","2020","1"
"354",2020-04-07,1,"MS007","Inactive","04-07","2020","0"
"355",2020-04-07,1,"MS016","Inactive","04-07","2020","0"
"356",2020-04-07,1,"MS017","Inactive","04-07","2020","0"
"357",2020-04-07,1,"MS021","Inactive","04-07","2020","0"
"358",2020-04-07,1,"MS023","Inactive","04-07","2020","0"
"359",2020-04-07,1,"MS024","Inactive","04-07","2020","0"
"360",2020-04-07,1,"MS026","Inactive","04-07","2020","0"
"361",2020-04-08,1,"MS001","Inactive","04-08","2020","0"
"362",2020-04-08,1,"MS002","Inactive","04-08","2020","0"
"363",2020-04-08,1,"MS004","Active","04-08","2020","1"
"364",2020-04-08,1,"MS007","Inactive","04-08","2020","0"
"365",2020-04-08,1,"MS016","Inactive","04-08","2020","0"
"366",2020-04-08,1,"MS017","Inactive","04-08","2020","0"
"367",2020-04-08,1,"MS021","Inactive","04-08","2020","0"
"368",2020-04-08,1,"MS023","Inactive","04-08","2020","0"
"369",2020-04-08,1,"MS024","Inactive","04-08","2020","0"
"370",2020-04-08,1,"MS026","Inactive","04-08","2020","0"
"371",2020-04-09,1,"MS001","Inactive","04-09","2020","0"
